time_s,x_m,v_m_s,theta_rad,omega_rad_s,force_N,push_N
3.099999999999999978e-01,4.669053366453178311e-02,9.806769159613591691e-02,-1.274293769015052806e-02,-8.891821476397905599e-02,-5.005435500890469402e-01,0.000000000000000000e+00
3.125000000000000000e-01,4.693381875350472604e-02,9.656201277813626638e-02,-1.296225104893287093e-02,-8.653753258883600807e-02,-4.979590181922092240e-01,0.000000000000000000e+00
3.150000000000000022e-01,4.717335196892893934e-02,9.506622160636235552e-02,-1.317565068204839575e-02,-8.418724354522047482e-02,-4.953066943527598687e-01,0.000000000000000000e+00
3.175000000000000044e-01,4.740915824156147207e-02,9.358048553551630289e-02,-1.338321263428111051e-02,-8.186739410098647918e-02,-4.925902808079001272e-01,0.000000000000000000e+00
3.200000000000000067e-01,4.764126290701828359e-02,9.210496106146255635e-02,-1.358501304368686137e-02,-7.957801253355352433e-02,-4.898133592223150590e-01,0.000000000000000000e+00
3.225000000000000089e-01,4.786969167884856657e-02,9.063979409661973574e-02,-1.378112809706601161e-02,-7.731910968506813808e-02,-4.869793939076588751e-01,0.000000000000000000e+00
3.250000000000000111e-01,4.809447062253457278e-02,8.918512033502361269e-02,-1.397163398729536592e-02,-7.509067969472646431e-02,-4.840917349671075565e-01,0.000000000000000000e+00
3.275000000000000133e-01,4.831562613039146886e-02,8.774106560730696169e-02,-1.415660687246295471e-02,-7.289270070883967223e-02,-4.811536213664818762e-01,0.000000000000000000e+00
3.300000000000000155e-01,4.853318489734226998e-02,8.630774622583732569e-02,-1.433612283675074484e-02,-7.072513556921114497e-02,-4.781681839334217532e-01,0.000000000000000000e+00
3.325000000000000178e-01,4.874717389754357200e-02,8.488526932024859084e-02,-1.451025785301178310e-02,-6.858793248038225210e-02,-4.751384482860721015e-01,0.000000000000000000e+00
3.350000000000000200e-01,4.895762036183834431e-02,8.347373316359758821e-02,-1.467908774698959036e-02,-6.648102565629136762e-02,-4.720673376927231324e-01,0.000000000000000000e+00
3.375000000000000222e-01,4.916455175601262134e-02,8.207322748937187495e-02,-1.484268816312903604e-02,-6.440433594687849927e-02,-4.689576758638169807e-01,0.000000000000000000e+00
3.400000000000000244e-01,4.936799575983352728e-02,8.068383379957047574e-02,-1.500113453192920138e-02,-6.235777144515657761e-02,-4.658121896777230875e-01,0.000000000000000000e+00
3.425000000000000266e-01,4.956798024684656162e-02,7.930562566407443892e-02,-1.515450203879002526e-02,-6.034122807525844900e-02,-4.626335118416470271e-01,0.000000000000000000e+00
3.450000000000000289e-01,4.976453326491062784e-02,7.793866901151966231e-02,-1.530286559430581866e-02,-5.835459016195744530e-02,-4.594241834890319121e-01,0.000000000000000000e+00
3.475000000000000311e-01,4.995768301744987760e-02,7.658302241187983639e-02,-1.544629980595992047e-02,-5.639773098214815455e-02,-4.561866567147789819e-01,0.000000000000000000e+00
3.500000000000000333e-01,5.014745784540181744e-02,7.523873735096296700e-02,-1.558487895117601288e-02,-5.447051329876294312e-02,-4.529232970495919997e-01,0.000000000000000000e+00
3.524999999999999800e-01,5.033388620984179107e-02,7.390585849702056842e-02,-1.571867695168274737e-02,-5.257278987758906563e-02,-4.496363858747354225e-01,0.000000000000000000e+00
3.549999999999999822e-01,5.051699667526431820e-02,7.258442395966441252e-02,-1.584776734914952051e-02,-5.070440398744046478e-02,-4.463281227784683391e-01,0.000000000000000000e+00
3.574999999999999845e-01,5.069681789350230505e-02,7.127446554128133438e-02,-1.597222328205233355e-02,-4.886518988412807268e-02,-4.430006278553938470e-01,0.000000000000000000e+00
3.599999999999999867e-01,5.087337858826560671e-02,6.997600898113265355e-02,-1.609211746372977286e-02,-4.705497327866201701e-02,-4.396559439499460042e-01,0.000000000000000000e+00
3.624999999999999889e-01,5.104670754028090007e-02,6.868907419232056499e-02,-1.620752216159024317e-02,-4.527357179010924743e-02,-4.362960388452129523e-01,0.000000000000000000e+00
3.649999999999999911e-01,5.121683357301520800e-02,6.741367549179991259e-02,-1.631850917743258092e-02,-4.352079538352009863e-02,-4.329228073982737124e-01,0.000000000000000000e+00
3.674999999999999933e-01,5.138378553896599810e-02,6.614982182360985841e-02,-1.642514982884324404e-02,-4.179644679332776558e-02,-4.295380736231991792e-01,0.000000000000000000e+00
3.699999999999999956e-01,5.154759230650099444e-02,6.489751697549603349e-02,-1.652751493163426288e-02,-4.010032193261509059e-02,-4.261435927228621745e-01,0.000000000000000000e+00
3.724999999999999978e-01,5.170828274723152790e-02,6.365675978909006438e-02,-1.662567478328708451e-02,-3.843221028863375716e-02,-4.227410530706608993e-01,0.000000000000000000e+00
3.750000000000000000e-01,5.186588572390340296e-02,6.242754436380958116e-02,-1.671969914736842755e-02,-3.679189530495197147e-02,-4.193320781432520183e-01,0.000000000000000000e+00
3.775000000000000022e-01,5.202043007878982828e-02,6.120986025463823893e-02,-1.680965723888517768e-02,-3.517915475059764374e-02,-4.159182284053726253e-01,0.000000000000000000e+00
3.800000000000000044e-01,5.217194462257136039e-02,6.000369266394164208e-02,-1.689561771054624850e-02,-3.359376107655540067e-02,-4.125010031477890915e-01,0.000000000000000000e+00
3.825000000000000067e-01,5.232045812368804616e-02,5.880902262747160492e-02,-1.697764863990025574e-02,-3.203548175996716318e-02,-4.090818422794216258e-01,0.000000000000000000e+00
3.850000000000000089e-01,5.246599929814946273e-02,5.762582719470773357e-02,-1.705581751731867143e-02,-3.050407963637762065e-02,-4.056621280746475766e-01,0.000000000000000000e+00
3.875000000000000111e-01,5.260859679978872883e-02,5.645407960368194200e-02,-1.713019123479499889e-02,-2.899931322035770656e-02,-4.022431868767767371e-01,0.000000000000000000e+00
3.900000000000000133e-01,5.274827921094678990e-02,5.529374945042818401e-02,-1.720083607553131444e-02,-2.752093701483106225e-02,-3.988262907586775929e-01,0.000000000000000000e+00
3.925000000000000155e-01,5.288507503357376544e-02,5.414480285319649144e-02,-1.726781770428434393e-02,-2.606870180942068294e-02,-3.954126591415069725e-01,0.000000000000000000e+00
3.950000000000000178e-01,5.301901268073443835e-02,5.300720261156716823e-02,-1.733120115844398457e-02,-2.464235496812509918e-02,-3.920034603724774636e-01,0.000000000000000000e+00
3.975000000000000200e-01,5.315012046850527139e-02,5.188090836059797845e-02,-1.739105083981802233e-02,-2.324164070662597392e-02,-3.885998132625845258e-01,0.000000000000000000e+00
